package_name,is_known,jar,class,method_name,method_sig,line,register,usage_type,usage_detail,file
ro.smps.gain.tablet,no,SmpsManager,com.samsung.audio.SmpsManager,<clinit>,<com.samsung.audio.SmpsManager: void <clinit>()>,207,v0,invoke,"invoke-static {v0, v1}, Landroid/os/SystemProperties;->get(Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;",/artifact/work/samsung/smali/SmpsManager/com/samsung/audio/SmpsManager.smali
ro.smps.gain.spk,no,SmpsManager,com.samsung.audio.SmpsManager,<clinit>,<com.samsung.audio.SmpsManager: void <clinit>()>,224,v0,invoke,"invoke-static {v0, v2}, Landroid/os/SystemProperties;->get(Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;",/artifact/work/samsung/smali/SmpsManager/com/samsung/audio/SmpsManager.smali
ro.smps.gain.ear,no,SmpsManager,com.samsung.audio.SmpsManager,<clinit>,<com.samsung.audio.SmpsManager: void <clinit>()>,243,v0,invoke,"invoke-static {v0, v1}, Landroid/os/SystemProperties;->get(Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;",/artifact/work/samsung/smali/SmpsManager/com/samsung/audio/SmpsManager.smali
ro.build.characteristics,no,SmpsManager,com.samsung.audio.SmpsManager,<clinit>,<com.samsung.audio.SmpsManager: void <clinit>()>,260,v0,invoke,"invoke-static {v0}, Landroid/os/SystemProperties;->get(Ljava/lang/String;)Ljava/lang/String;",/artifact/work/samsung/smali/SmpsManager/com/samsung/audio/SmpsManager.smali
smpsft.smps.samsung,no,SmpsManager,com.samsung.audio.Smps,<clinit>,<com.samsung.audio.Smps: void <clinit>()>,108,v2,invoke,"invoke-static {v2}, Ljava/lang/System;->loadLibrary(Ljava/lang/String;)V",/artifact/work/samsung/smali/SmpsManager/com/samsung/audio/Smps.smali
com.google.protobuf.Extension,no,am,com.google.protobuf.ExtensionRegistryLite,resolveExtensionClass,<com.google.protobuf.ExtensionRegistryLite: java.lang.Class resolveExtensionClass()>,263,v0,invoke,"invoke-static {v0}, Ljava/lang/Class;->forName(Ljava/lang/String;)Ljava/lang/Class;",/artifact/work/samsung/smali/am/com/google/protobuf/ExtensionRegistryLite.smali
com.google.protobuf.ExtensionSchemaFull,no,am,com.google.protobuf.ExtensionSchemas,loadSchemaForFullRuntime,<com.google.protobuf.ExtensionSchemas: com.google.protobuf.ExtensionSchema loadSchemaForFullRuntime()>,113,v0,invoke,"invoke-static {v0}, Ljava/lang/Class;->forName(Ljava/lang/String;)Ljava/lang/Class;",/artifact/work/samsung/smali/am/com/google/protobuf/ExtensionSchemas.smali
com.google.protobuf.DescriptorMessageInfoFactory,no,am,com.google.protobuf.ManifestSchemaFactory,getDescriptorMessageInfoFactory,<com.google.protobuf.ManifestSchemaFactory: com.google.protobuf.MessageInfoFactory getDescriptorMessageInfoFactory()>,113,v0,invoke,"invoke-static {v0}, Ljava/lang/Class;->forName(Ljava/lang/String;)Ljava/lang/Class;",/artifact/work/samsung/smali/am/com/google/protobuf/ManifestSchemaFactory.smali
com.google.protobuf.ExtensionRegistry,no,am,com.google.protobuf.ExtensionRegistryFactory,reflectExtensionRegistry,<com.google.protobuf.ExtensionRegistryFactory: java.lang.Class reflectExtensionRegistry()>,185,v0,invoke,"invoke-static {v0}, Ljava/lang/Class;->forName(Ljava/lang/String;)Ljava/lang/Class;",/artifact/work/samsung/smali/am/com/google/protobuf/ExtensionRegistryFactory.smali
com.google.protobuf.GeneratedMessageV3,no,am,com.google.protobuf.SchemaUtil,getGeneratedMessageClass,<com.google.protobuf.SchemaUtil: java.lang.Class getGeneratedMessageClass()>,2504,v0,invoke,"invoke-static {v0}, Ljava/lang/Class;->forName(Ljava/lang/String;)Ljava/lang/Class;",/artifact/work/samsung/smali/am/com/google/protobuf/SchemaUtil.smali
com.google.protobuf.UnknownFieldSetSchema,no,am,com.google.protobuf.SchemaUtil,getUnknownFieldSetSchemaClass,<com.google.protobuf.SchemaUtil: java.lang.Class getUnknownFieldSetSchemaClass()>,2752,v0,invoke,"invoke-static {v0}, Ljava/lang/Class;->forName(Ljava/lang/String;)Ljava/lang/Class;",/artifact/work/samsung/smali/am/com/google/protobuf/SchemaUtil.smali
org.robolectric.Robolectric,no,am,com.google.protobuf.Android,<clinit>,<com.google.protobuf.Android: void <clinit>()>,36,v0,invoke,"invoke-static {v0}, Lcom/google/protobuf/Android;->getClassForName(Ljava/lang/String;)Ljava/lang/Class;",/artifact/work/samsung/smali/am/com/google/protobuf/Android.smali
